segment,duration,loudness_max,pitches,pitch1,pitch2,pitch3,pitch4,pitch5,pitch6,pitch7,pitch8,pitch9,pitch10,pitch11,pitch12
217,0.58032,-2.738,"[1.0, 0.329, 0.377, 0.431, 0.538, 0.505, 0.53, 0.785, 0.476, 0.445, 0.456, 0.509]",1.0,0.329,0.377,0.431,0.538,0.505,0.53,0.785,0.476,0.445,0.456,0.509
218,0.22635,-4.712,"[1.0, 0.561, 0.342, 0.269, 0.342, 0.526, 0.3, 0.797, 0.189, 0.17, 0.213, 0.701]",1.0,0.561,0.342,0.269,0.342,0.526,0.3,0.797,0.189,0.17,0.213,0.701
219,0.37179,-4.533,"[1.0, 0.792, 0.548, 0.266, 0.324, 0.162, 0.155, 0.329, 0.438, 0.54, 0.7, 0.883]",1.0,0.792,0.548,0.266,0.324,0.162,0.155,0.329,0.438,0.54,0.7,0.883
220,0.39497,-3.744,"[1.0, 0.52, 0.249, 0.274, 0.413, 0.837, 0.397, 0.588, 0.373, 0.644, 0.448, 0.529]",1.0,0.52,0.249,0.274,0.413,0.837,0.397,0.588,0.373,0.644,0.448,0.529
221,0.20259,-5.389,"[0.412, 0.682, 0.827, 0.644, 0.696, 1.0, 0.623, 0.481, 0.943, 0.542, 0.514, 0.438]",0.412,0.682,0.827,0.644,0.696,1.0,0.623,0.481,0.943,0.542,0.514,0.438
222,0.34331,-4.751,"[0.588, 0.558, 1.0, 0.394, 0.297, 0.416, 0.822, 0.768, 0.241, 0.311, 0.267, 0.665]",0.588,0.558,1.0,0.394,0.297,0.416,0.822,0.768,0.241,0.311,0.267,0.665
223,0.40961,-5.343,"[0.241, 0.266, 0.194, 0.181, 0.253, 0.212, 0.173, 0.276, 0.72, 1.0, 0.23, 0.212]",0.241,0.266,0.194,0.181,0.253,0.212,0.173,0.276,0.72,1.0,0.23,0.212
224,0.59941,-4.174,"[0.321, 0.448, 1.0, 0.183, 0.197, 0.261, 0.25, 0.202, 0.283, 0.397, 0.222, 0.256]",0.321,0.448,1.0,0.183,0.197,0.261,0.25,0.202,0.283,0.397,0.222,0.256
225,0.33442,-3.572,"[0.133, 0.334, 1.0, 0.418, 0.232, 0.168, 0.07, 0.041, 0.139, 0.19, 0.078, 0.105]",0.133,0.334,1.0,0.418,0.232,0.168,0.07,0.041,0.139,0.19,0.078,0.105
226,0.22086,-8.529,"[0.284, 0.75, 1.0, 0.347, 0.346, 0.283, 0.125, 0.153, 0.357, 0.486, 0.176, 0.36]",0.284,0.75,1.0,0.347,0.346,0.283,0.125,0.153,0.357,0.486,0.176,0.36
227,0.20576,-7.771,"[0.15, 0.477, 1.0, 0.237, 0.088, 0.108, 0.083, 0.069, 0.125, 0.152, 0.028, 0.102]",0.15,0.477,1.0,0.237,0.088,0.108,0.083,0.069,0.125,0.152,0.028,0.102
228,0.16245,-4.301,"[0.208, 1.0, 0.618, 0.259, 0.158, 0.171, 0.148, 0.375, 0.378, 0.26, 0.108, 0.074]",0.208,1.0,0.618,0.259,0.158,0.171,0.148,0.375,0.378,0.26,0.108,0.074
229,0.18571,-6.858,"[0.362, 1.0, 0.253, 0.122, 0.408, 0.447, 0.593, 0.567, 0.588, 0.569, 0.353, 0.037]",0.362,1.0,0.253,0.122,0.408,0.447,0.593,0.567,0.588,0.569,0.353,0.037
230,0.11211,-6.063,"[1.0, 0.701, 0.141, 0.069, 0.17, 0.4, 0.341, 0.184, 0.295, 0.334, 0.586, 0.376]",1.0,0.701,0.141,0.069,0.17,0.4,0.341,0.184,0.295,0.334,0.586,0.376
231,0.32186,-5.936,"[0.099, 0.138, 0.693, 0.147, 0.116, 0.178, 0.268, 1.0, 0.212, 0.157, 0.131, 0.145]",0.099,0.138,0.693,0.147,0.116,0.178,0.268,1.0,0.212,0.157,0.131,0.145
232,0.3668,-4.863,"[0.062, 0.082, 0.384, 0.15, 0.133, 0.109, 0.139, 1.0, 0.223, 0.136, 0.055, 0.063]",0.062,0.082,0.384,0.15,0.133,0.109,0.139,1.0,0.223,0.136,0.055,0.063
233,0.1283,-7.133,"[0.766, 0.648, 0.192, 0.182, 0.325, 0.272, 0.629, 0.721, 0.956, 1.0, 0.965, 0.077]",0.766,0.648,0.192,0.182,0.325,0.272,0.629,0.721,0.956,1.0,0.965,0.077
234,0.27832,-7.066,"[0.624, 1.0, 0.986, 0.222, 0.359, 0.512, 0.517, 0.848, 0.323, 0.245, 0.22, 0.511]",0.624,1.0,0.986,0.222,0.359,0.512,0.517,0.848,0.323,0.245,0.22,0.511
235,0.37152,-4.898,"[0.132, 0.157, 0.242, 0.193, 0.364, 0.38, 0.747, 1.0, 0.52, 0.183, 0.145, 0.109]",0.132,0.157,0.242,0.193,0.364,0.38,0.747,1.0,0.52,0.183,0.145,0.109
236,0.20889,-6.665,"[1.0, 0.499, 0.208, 0.05, 0.089, 0.048, 0.095, 0.217, 0.098, 0.108, 0.091, 0.575]",1.0,0.499,0.208,0.05,0.089,0.048,0.095,0.217,0.098,0.108,0.091,0.575
237,0.16857,-6.612,"[1.0, 0.305, 0.03, 0.038, 0.1, 0.027, 0.041, 0.172, 0.135, 0.194, 0.162, 0.179]",1.0,0.305,0.03,0.038,0.1,0.027,0.041,0.172,0.135,0.194,0.162,0.179
238,0.20757,-3.25,"[1.0, 0.317, 0.145, 0.13, 0.145, 0.167, 0.136, 0.278, 0.186, 0.112, 0.103, 0.406]",1.0,0.317,0.145,0.13,0.145,0.167,0.136,0.278,0.186,0.112,0.103,0.406
239,0.3624,-5.868,"[1.0, 0.564, 0.34, 0.136, 0.14, 0.107, 0.033, 0.187, 0.151, 0.124, 0.048, 0.218]",1.0,0.564,0.34,0.136,0.14,0.107,0.033,0.187,0.151,0.124,0.048,0.218
240,0.20798,-6.113,"[0.416, 0.324, 0.234, 0.129, 0.253, 0.237, 0.06, 0.169, 0.1, 0.298, 1.0, 0.34]",0.416,0.324,0.234,0.129,0.253,0.237,0.06,0.169,0.1,0.298,1.0,0.34
241,0.36508,-4.593,"[0.48, 0.409, 0.356, 0.357, 0.634, 0.436, 0.318, 0.813, 1.0, 0.805, 0.754, 0.685]",0.48,0.409,0.356,0.357,0.634,0.436,0.318,0.813,1.0,0.805,0.754,0.685
242,0.41882,-3.517,"[0.76, 0.203, 0.269, 0.3, 0.2, 1.0, 0.266, 0.142, 0.212, 0.393, 0.241, 0.34]",0.76,0.203,0.269,0.3,0.2,1.0,0.266,0.142,0.212,0.393,0.241,0.34
243,0.19678,-6.579,"[0.362, 0.363, 0.611, 0.632, 0.703, 0.854, 0.504, 0.538, 1.0, 0.612, 0.384, 0.309]",0.362,0.363,0.611,0.632,0.703,0.854,0.504,0.538,1.0,0.612,0.384,0.309
244,0.36603,-5.193,"[0.572, 0.526, 0.815, 0.238, 0.189, 0.181, 0.494, 1.0, 0.308, 0.214, 0.159, 0.619]",0.572,0.526,0.815,0.238,0.189,0.181,0.494,1.0,0.308,0.214,0.159,0.619
245,0.38236,-4.977,"[0.3, 0.252, 0.161, 0.161, 0.278, 0.276, 0.166, 0.291, 0.554, 1.0, 0.385, 0.255]",0.3,0.252,0.161,0.161,0.278,0.276,0.166,0.291,0.554,1.0,0.385,0.255
246,0.37215,-4.837,"[0.13, 0.173, 1.0, 0.176, 0.104, 0.122, 0.104, 0.144, 0.219, 0.316, 0.082, 0.128]",0.13,0.173,1.0,0.176,0.104,0.122,0.104,0.144,0.219,0.316,0.082,0.128
247,0.17401,-3.166,"[0.874, 1.0, 0.21, 0.109, 0.211, 0.215, 0.337, 0.31, 0.444, 0.551, 0.635, 0.087]",0.874,1.0,0.21,0.109,0.211,0.215,0.337,0.31,0.444,0.551,0.635,0.087
248,0.53424,-1.934,"[0.123, 0.329, 1.0, 0.326, 0.332, 0.294, 0.136, 0.083, 0.135, 0.225, 0.099, 0.101]",0.123,0.329,1.0,0.326,0.332,0.294,0.136,0.083,0.135,0.225,0.099,0.101
249,0.29592,-6.226,"[0.487, 0.742, 1.0, 0.153, 0.213, 0.348, 0.319, 0.191, 0.219, 0.377, 0.162, 0.362]",0.487,0.742,1.0,0.153,0.213,0.348,0.319,0.191,0.219,0.377,0.162,0.362
250,0.3839,-4.313,"[0.427, 0.565, 1.0, 0.552, 0.524, 0.5, 0.711, 0.639, 0.682, 0.708, 0.588, 0.491]",0.427,0.565,1.0,0.552,0.524,0.5,0.711,0.639,0.682,0.708,0.588,0.491
251,0.33039,-5.16,"[0.257, 0.233, 0.481, 0.16, 0.208, 0.206, 0.261, 1.0, 0.271, 0.139, 0.151, 0.22]",0.257,0.233,0.481,0.16,0.208,0.206,0.261,1.0,0.271,0.139,0.151,0.22
252,0.64481,-3.859,"[0.203, 0.191, 0.441, 0.184, 0.248, 0.227, 0.318, 1.0, 0.533, 0.327, 0.207, 0.166]",0.203,0.191,0.441,0.184,0.248,0.227,0.318,1.0,0.533,0.327,0.207,0.166
253,0.18503,-8.707,"[0.28, 0.491, 0.385, 0.155, 0.237, 0.221, 0.651, 1.0, 0.893, 0.926, 0.295, 0.072]",0.28,0.491,0.385,0.155,0.237,0.221,0.651,1.0,0.893,0.926,0.295,0.072
254,0.14526,-6.41,"[0.496, 0.472, 0.964, 0.418, 0.299, 0.351, 0.514, 1.0, 0.719, 0.238, 0.19, 0.283]",0.496,0.472,0.964,0.418,0.299,0.351,0.514,1.0,0.719,0.238,0.19,0.283
255,0.23206,-4.909,"[0.093, 0.14, 0.272, 0.147, 0.14, 0.185, 0.454, 1.0, 0.282, 0.18, 0.081, 0.106]",0.093,0.14,0.272,0.147,0.14,0.185,0.454,1.0,0.282,0.18,0.081,0.106
256,0.18018,-3.371,"[0.272, 0.512, 0.285, 0.187, 0.549, 0.51, 1.0, 0.825, 0.695, 0.768, 0.403, 0.039]",0.272,0.512,0.285,0.187,0.549,0.51,1.0,0.825,0.695,0.768,0.403,0.039
257,0.19175,-3.636,"[0.527, 0.494, 1.0, 0.609, 0.351, 0.342, 0.495, 0.114, 0.289, 0.373, 0.102, 0.396]",0.527,0.494,1.0,0.609,0.351,0.342,0.495,0.114,0.289,0.373,0.102,0.396
258,0.17991,-3.421,"[0.135, 1.0, 0.739, 0.28, 0.124, 0.167, 0.177, 0.217, 0.336, 0.289, 0.212, 0.107]",0.135,1.0,0.739,0.28,0.124,0.167,0.177,0.217,0.336,0.289,0.212,0.107
259,0.07474,-5.168,"[0.486, 1.0, 0.477, 0.379, 0.379, 0.371, 0.221, 0.209, 0.179, 0.188, 0.318, 0.198]",0.486,1.0,0.477,0.379,0.379,0.371,0.221,0.209,0.179,0.188,0.318,0.198
260,0.15692,-4.534,"[0.211, 0.393, 0.639, 0.228, 0.08, 0.2, 1.0, 0.271, 0.2, 0.293, 0.143, 0.116]",0.211,0.393,0.639,0.228,0.08,0.2,1.0,0.271,0.2,0.293,0.143,0.116
261,0.74385,-3.357,"[0.396, 0.524, 0.935, 0.396, 0.429, 0.512, 1.0, 0.688, 0.839, 0.698, 0.428, 0.388]",0.396,0.524,0.935,0.396,0.429,0.512,1.0,0.688,0.839,0.698,0.428,0.388
262,0.38821,-3.42,"[0.43, 0.357, 0.38, 0.13, 0.187, 0.294, 0.615, 1.0, 0.496, 0.191, 0.282, 0.636]",0.43,0.357,0.38,0.13,0.187,0.294,0.615,1.0,0.496,0.191,0.282,0.636
263,0.19751,-5.617,"[0.34, 0.607, 0.496, 0.445, 0.447, 0.63, 0.593, 1.0, 0.973, 0.454, 0.313, 0.303]",0.34,0.607,0.496,0.445,0.447,0.63,0.593,1.0,0.973,0.454,0.313,0.303
264,0.36621,-2.414,"[0.503, 0.525, 0.234, 0.156, 0.434, 1.0, 0.301, 0.168, 0.145, 0.242, 0.126, 0.32]",0.503,0.525,0.234,0.156,0.434,1.0,0.301,0.168,0.145,0.242,0.126,0.32
265,0.22023,-4.763,"[1.0, 0.95, 0.584, 0.177, 0.267, 0.274, 0.331, 0.234, 0.214, 0.201, 0.164, 0.244]",1.0,0.95,0.584,0.177,0.267,0.274,0.331,0.234,0.214,0.201,0.164,0.244
266,0.19624,-3.384,"[0.654, 0.549, 0.831, 0.722, 0.474, 0.7, 0.461, 0.567, 0.718, 0.425, 0.803, 1.0]",0.654,0.549,0.831,0.722,0.474,0.7,0.461,0.567,0.718,0.425,0.803,1.0
267,0.39587,-3.001,"[0.107, 0.144, 0.726, 0.143, 0.115, 0.154, 0.21, 1.0, 0.227, 0.243, 0.178, 0.167]",0.107,0.144,0.726,0.143,0.115,0.154,0.21,1.0,0.227,0.243,0.178,0.167
268,0.17959,-4.914,"[0.647, 0.549, 0.227, 0.095, 0.337, 0.391, 0.837, 1.0, 0.635, 0.704, 0.33, 0.081]",0.647,0.549,0.227,0.095,0.337,0.391,0.837,1.0,0.635,0.704,0.33,0.081
269,0.2439,-3.519,"[0.144, 0.265, 0.747, 0.206, 0.316, 0.508, 0.432, 1.0, 0.578, 0.381, 0.496, 0.199]",0.144,0.265,0.747,0.206,0.316,0.508,0.432,1.0,0.578,0.381,0.496,0.199
270,0.20195,-3.537,"[0.943, 0.625, 0.979, 0.559, 0.419, 0.392, 1.0, 0.886, 0.657, 0.707, 0.52, 0.914]",0.943,0.625,0.979,0.559,0.419,0.392,1.0,0.886,0.657,0.707,0.52,0.914
271,0.33252,-4.715,"[0.85, 0.456, 0.419, 0.615, 0.644, 0.912, 0.617, 0.528, 0.438, 0.615, 0.724, 1.0]",0.85,0.456,0.419,0.615,0.644,0.912,0.617,0.528,0.438,0.615,0.724,1.0
272,0.37166,-3.443,"[0.327, 0.403, 0.585, 0.333, 0.595, 0.765, 0.846, 1.0, 0.449, 0.49, 0.348, 0.265]",0.327,0.403,0.585,0.333,0.595,0.765,0.846,1.0,0.449,0.49,0.348,0.265
273,0.38263,-1.098,"[0.236, 0.331, 0.342, 0.197, 0.135, 0.199, 0.354, 1.0, 0.411, 0.283, 0.24, 0.332]",0.236,0.331,0.342,0.197,0.135,0.199,0.354,1.0,0.411,0.283,0.24,0.332
274,0.20372,-5.798,"[0.26, 0.343, 0.386, 0.48, 0.359, 0.355, 0.488, 0.813, 1.0, 0.451, 0.301, 0.321]",0.26,0.343,0.386,0.48,0.359,0.355,0.488,0.813,1.0,0.451,0.301,0.321
275,0.33034,-4.148,"[0.828, 0.39, 0.366, 0.162, 0.42, 1.0, 0.232, 0.204, 0.242, 0.31, 0.111, 0.516]",0.828,0.39,0.366,0.162,0.42,1.0,0.232,0.204,0.242,0.31,0.111,0.516
276,0.42912,-3.643,"[1.0, 0.644, 0.386, 0.231, 0.246, 0.297, 0.327, 0.559, 0.691, 0.74, 0.479, 0.535]",1.0,0.644,0.386,0.231,0.246,0.297,0.327,0.559,0.691,0.74,0.479,0.535
277,0.38354,-3.576,"[0.167, 0.298, 0.644, 0.252, 0.205, 0.248, 0.376, 1.0, 0.386, 0.441, 0.362, 0.191]",0.167,0.298,0.644,0.252,0.205,0.248,0.376,1.0,0.386,0.441,0.362,0.191
278,0.20907,-5.111,"[0.349, 0.244, 1.0, 0.28, 0.213, 0.363, 0.16, 0.184, 0.166, 0.307, 0.199, 0.216]",0.349,0.244,1.0,0.28,0.213,0.363,0.16,0.184,0.166,0.307,0.199,0.216
279,0.19687,-3.256,"[0.171, 0.189, 0.369, 0.153, 0.335, 1.0, 0.382, 0.334, 0.331, 0.233, 0.268, 0.136]",0.171,0.189,0.369,0.153,0.335,1.0,0.382,0.334,0.331,0.233,0.268,0.136
280,0.31379,-4.05,"[0.332, 0.24, 0.345, 0.171, 0.139, 0.127, 0.179, 1.0, 0.18, 0.19, 0.132, 0.203]",0.332,0.24,0.345,0.171,0.139,0.127,0.179,1.0,0.18,0.19,0.132,0.203
281,0.2444,-5.389,"[0.445, 0.755, 1.0, 0.26, 0.211, 0.292, 0.264, 0.652, 0.244, 0.148, 0.151, 0.379]",0.445,0.755,1.0,0.26,0.211,0.292,0.264,0.652,0.244,0.148,0.151,0.379
282,0.37669,-3.911,"[0.079, 0.181, 0.284, 0.2, 0.286, 0.323, 0.644, 1.0, 0.614, 0.18, 0.121, 0.106]",0.079,0.181,0.284,0.2,0.286,0.323,0.644,1.0,0.614,0.18,0.121,0.106
283,0.40077,-3.969,"[1.0, 0.261, 0.319, 0.226, 0.381, 0.444, 0.428, 0.45, 0.448, 0.431, 0.381, 0.861]",1.0,0.261,0.319,0.226,0.381,0.444,0.428,0.45,0.448,0.431,0.381,0.861
284,0.38898,-4.914,"[1.0, 0.129, 0.095, 0.08, 0.26, 0.082, 0.055, 0.259, 0.117, 0.078, 0.057, 0.286]",1.0,0.129,0.095,0.08,0.26,0.082,0.055,0.259,0.117,0.078,0.057,0.286
285,0.1858,-3.516,"[0.566, 0.662, 0.161, 0.182, 0.573, 0.595, 0.938, 1.0, 0.819, 0.804, 0.557, 0.071]",0.566,0.662,0.161,0.182,0.573,0.595,0.938,1.0,0.819,0.804,0.557,0.071
286,0.21447,-2.743,"[1.0, 0.665, 0.349, 0.206, 0.34, 0.273, 0.189, 0.366, 0.123, 0.113, 0.166, 0.488]",1.0,0.665,0.349,0.206,0.34,0.273,0.189,0.366,0.123,0.113,0.166,0.488
287,0.18599,-2.981,"[1.0, 0.676, 0.357, 0.242, 0.251, 0.336, 0.242, 0.579, 0.371, 0.206, 0.148, 0.476]",1.0,0.676,0.357,0.242,0.251,0.336,0.242,0.579,0.371,0.206,0.148,0.476
288,0.13946,-4.725,"[0.979, 0.873, 0.517, 0.232, 0.546, 0.712, 0.864, 0.85, 0.978, 1.0, 0.969, 0.081]",0.979,0.873,0.517,0.232,0.546,0.712,0.864,0.85,0.978,1.0,0.969,0.081
289,1.2073,-3.264,"[0.283, 0.151, 0.108, 0.198, 0.178, 0.353, 0.188, 0.181, 0.331, 0.289, 1.0, 0.21]",0.283,0.151,0.108,0.198,0.178,0.353,0.188,0.181,0.331,0.289,1.0,0.21
290,0.51084,-2.862,"[0.353, 0.174, 0.227, 0.379, 0.264, 0.324, 0.145, 0.174, 0.255, 0.209, 1.0, 0.206]",0.353,0.174,0.227,0.379,0.264,0.324,0.145,0.174,0.255,0.209,1.0,0.206
291,0.24363,-4.677,"[1.0, 0.525, 0.41, 0.532, 0.515, 0.662, 0.471, 0.291, 0.324, 0.403, 0.877, 0.871]",1.0,0.525,0.41,0.532,0.515,0.662,0.471,0.291,0.324,0.403,0.877,0.871
292,0.7556,-3.191,"[0.98, 0.756, 0.503, 0.449, 0.641, 0.892, 0.632, 0.706, 0.794, 0.635, 1.0, 0.817]",0.98,0.756,0.503,0.449,0.641,0.892,0.632,0.706,0.794,0.635,1.0,0.817
293,0.43991,-4.303,"[0.242, 0.247, 0.454, 0.422, 0.443, 0.477, 0.283, 0.367, 0.829, 1.0, 0.411, 0.202]",0.242,0.247,0.454,0.422,0.443,0.477,0.283,0.367,0.829,1.0,0.411,0.202
294,0.30608,-4.606,"[0.698, 0.106, 0.095, 0.121, 0.161, 1.0, 0.198, 0.169, 0.08, 0.107, 0.038, 0.342]",0.698,0.106,0.095,0.121,0.161,1.0,0.198,0.169,0.08,0.107,0.038,0.342
295,0.32735,-5.267,"[0.53, 0.127, 0.1, 0.135, 0.361, 1.0, 0.196, 0.128, 0.253, 0.183, 0.084, 0.113]",0.53,0.127,0.1,0.135,0.361,1.0,0.196,0.128,0.253,0.183,0.084,0.113
296,0.13324,-5.714,"[1.0, 0.291, 0.137, 0.318, 0.38, 0.806, 0.199, 0.107, 0.108, 0.114, 0.115, 0.44]",1.0,0.291,0.137,0.318,0.38,0.806,0.199,0.107,0.108,0.114,0.115,0.44
297,0.19646,-5.058,"[0.693, 0.355, 0.221, 0.171, 0.357, 1.0, 0.28, 0.072, 0.205, 0.204, 0.117, 0.41]",0.693,0.355,0.221,0.171,0.357,1.0,0.28,0.072,0.205,0.204,0.117,0.41
298,0.19882,-5.069,"[1.0, 0.347, 0.119, 0.609, 0.687, 0.792, 0.122, 0.116, 0.437, 0.373, 0.194, 0.477]",1.0,0.347,0.119,0.609,0.687,0.792,0.122,0.116,0.437,0.373,0.194,0.477
299,0.17959,-3.365,"[1.0, 0.353, 0.171, 0.259, 0.232, 0.419, 0.233, 0.348, 0.47, 0.294, 0.191, 0.193]",1.0,0.353,0.171,0.259,0.232,0.419,0.233,0.348,0.47,0.294,0.191,0.193
300,0.13923,-5.907,"[0.261, 0.382, 0.421, 0.16, 0.424, 1.0, 0.318, 0.334, 0.199, 0.207, 0.099, 0.136]",0.261,0.382,0.421,0.16,0.424,1.0,0.318,0.334,0.199,0.207,0.099,0.136
301,0.26694,-4.664,"[0.708, 0.721, 0.828, 0.882, 0.768, 0.459, 0.28, 0.304, 0.869, 1.0, 0.226, 0.715]",0.708,0.721,0.828,0.882,0.768,0.459,0.28,0.304,0.869,1.0,0.226,0.715
302,0.19147,-4.56,"[0.806, 0.743, 0.502, 0.213, 0.758, 0.336, 0.177, 0.168, 0.293, 1.0, 0.468, 0.7]",0.806,0.743,0.502,0.213,0.758,0.336,0.177,0.168,0.293,1.0,0.468,0.7
303,0.3658,-3.242,"[0.197, 0.129, 0.085, 0.182, 0.651, 0.196, 0.155, 0.11, 0.328, 1.0, 0.409, 0.439]",0.197,0.129,0.085,0.182,0.651,0.196,0.155,0.11,0.328,1.0,0.409,0.439
304,0.19179,-4.306,"[0.501, 0.765, 0.687, 0.531, 0.978, 0.476, 0.205, 0.305, 0.279, 1.0, 0.661, 0.537]",0.501,0.765,0.687,0.531,0.978,0.476,0.205,0.305,0.279,1.0,0.661,0.537
305,0.22635,-4.48,"[1.0, 0.539, 0.304, 0.253, 0.579, 0.397, 0.261, 0.272, 0.195, 0.922, 0.34, 0.805]",1.0,0.539,0.304,0.253,0.579,0.397,0.261,0.272,0.195,0.922,0.34,0.805
306,0.16803,-5.61,"[0.165, 0.188, 0.117, 0.236, 0.282, 0.084, 0.301, 0.387, 1.0, 0.87, 0.586, 0.115]",0.165,0.188,0.117,0.236,0.282,0.084,0.301,0.387,1.0,0.87,0.586,0.115
307,0.2034,-7.083,"[0.278, 0.126, 0.131, 0.394, 1.0, 0.436, 0.279, 0.9, 0.366, 0.132, 0.136, 0.877]",0.278,0.126,0.131,0.394,1.0,0.436,0.279,0.9,0.366,0.132,0.136,0.877
308,0.35868,-6.339,"[0.468, 0.521, 1.0, 0.302, 0.218, 0.334, 0.248, 0.256, 0.206, 0.198, 0.109, 0.301]",0.468,0.521,1.0,0.302,0.218,0.334,0.248,0.256,0.206,0.198,0.109,0.301
309,0.40299,-6.251,"[0.12, 0.178, 1.0, 0.189, 0.281, 0.261, 0.059, 0.083, 0.177, 0.209, 0.121, 0.114]",0.12,0.178,1.0,0.189,0.281,0.261,0.059,0.083,0.177,0.209,0.121,0.114
310,0.21941,-7.409,"[0.189, 0.63, 1.0, 0.251, 0.217, 0.193, 0.085, 0.078, 0.214, 0.234, 0.089, 0.264]",0.189,0.63,1.0,0.251,0.217,0.193,0.085,0.078,0.214,0.234,0.089,0.264
311,0.17392,-7.364,"[0.91, 0.808, 0.472, 0.182, 0.256, 0.305, 0.637, 0.664, 0.898, 1.0, 0.686, 0.054]",0.91,0.808,0.472,0.182,0.256,0.305,0.637,0.664,0.898,1.0,0.686,0.054
312,0.23819,-4.335,"[0.103, 0.423, 1.0, 0.243, 0.133, 0.174, 0.15, 0.275, 0.259, 0.239, 0.095, 0.065]",0.103,0.423,1.0,0.243,0.133,0.174,0.15,0.275,0.259,0.239,0.095,0.065
313,0.17986,-7.676,"[0.385, 0.588, 0.388, 0.223, 0.557, 0.314, 0.372, 0.338, 0.846, 1.0, 0.447, 0.418]",0.385,0.588,0.388,0.223,0.557,0.314,0.372,0.338,0.846,1.0,0.447,0.418
314,0.21664,-5.848,"[0.257, 0.186, 0.43, 0.24, 0.32, 0.399, 0.45, 1.0, 0.705, 0.22, 0.202, 0.325]",0.257,0.186,0.43,0.24,0.32,0.399,0.45,1.0,0.705,0.22,0.202,0.325
315,0.1429,-6.507,"[0.263, 0.5, 0.53, 0.179, 0.37, 0.401, 0.788, 1.0, 0.712, 0.661, 0.183, 0.053]",0.263,0.5,0.53,0.179,0.37,0.401,0.788,1.0,0.712,0.661,0.183,0.053
316,0.43079,-3.649,"[0.174, 0.168, 0.269, 0.117, 0.237, 0.236, 0.297, 1.0, 0.455, 0.216, 0.141, 0.139]",0.174,0.168,0.269,0.117,0.237,0.236,0.297,1.0,0.455,0.216,0.141,0.139
317,0.38839,-5.677,"[0.334, 0.334, 0.357, 0.178, 0.201, 0.24, 0.376, 1.0, 0.479, 0.36, 0.37, 0.38]",0.334,0.334,0.357,0.178,0.201,0.24,0.376,1.0,0.479,0.36,0.37,0.38
318,0.19107,-4.945,"[0.096, 0.106, 0.384, 0.21, 0.128, 0.139, 0.386, 1.0, 0.547, 0.133, 0.054, 0.082]",0.096,0.106,0.384,0.21,0.128,0.139,0.386,1.0,0.547,0.133,0.054,0.082
319,0.19152,-7.753,"[0.101, 0.123, 0.509, 0.128, 0.115, 0.077, 0.401, 1.0, 0.532, 0.08, 0.034, 0.056]",0.101,0.123,0.509,0.128,0.115,0.077,0.401,1.0,0.532,0.08,0.034,0.056
320,0.10431,-7.374,"[0.509, 0.389, 0.355, 0.324, 0.524, 0.507, 0.837, 0.794, 1.0, 0.965, 0.814, 0.053]",0.509,0.389,0.355,0.324,0.524,0.507,0.837,0.794,1.0,0.965,0.814,0.053
321,0.2673,-6.753,"[1.0, 0.411, 0.264, 0.145, 0.216, 0.228, 0.15, 0.224, 0.172, 0.146, 0.157, 0.619]",1.0,0.411,0.264,0.145,0.216,0.228,0.15,0.224,0.172,0.146,0.157,0.619
322,0.22671,-5.853,"[1.0, 0.214, 0.08, 0.082, 0.081, 0.058, 0.039, 0.165, 0.206, 0.111, 0.089, 0.416]",1.0,0.214,0.08,0.082,0.081,0.058,0.039,0.165,0.206,0.111,0.089,0.416
323,0.3766,-5.192,"[0.692, 0.536, 0.533, 0.537, 0.545, 0.479, 0.471, 0.674, 0.991, 1.0, 0.697, 0.525]",0.692,0.536,0.533,0.537,0.545,0.479,0.471,0.674,0.991,1.0,0.697,0.525
324,0.18676,-4.836,"[0.558, 0.789, 1.0, 0.316, 0.349, 0.235, 0.167, 0.165, 0.231, 0.405, 0.14, 0.203]",0.558,0.789,1.0,0.316,0.349,0.235,0.167,0.165,0.231,0.405,0.14,0.203
325,0.18535,-3.942,"[0.482, 0.538, 0.643, 1.0, 0.676, 0.443, 0.283, 0.917, 0.736, 0.61, 0.562, 0.232]",0.482,0.538,0.643,1.0,0.676,0.443,0.283,0.917,0.736,0.61,0.562,0.232
326,0.20327,-6.736,"[0.329, 0.133, 0.121, 0.46, 1.0, 0.474, 0.256, 0.268, 0.257, 0.361, 0.16, 0.391]",0.329,0.133,0.121,0.46,1.0,0.474,0.256,0.268,0.257,0.361,0.16,0.391
327,0.38308,-5.831,"[1.0, 0.35, 0.24, 0.292, 0.516, 0.894, 0.711, 0.419, 0.417, 0.325, 0.295, 0.182]",1.0,0.35,0.24,0.292,0.516,0.894,0.711,0.419,0.417,0.325,0.295,0.182
328,0.36023,-5.742,"[0.324, 0.166, 0.098, 0.109, 0.234, 1.0, 0.379, 0.136, 0.131, 0.103, 0.046, 0.177]",0.324,0.166,0.098,0.109,0.234,1.0,0.379,0.136,0.131,0.103,0.046,0.177
329,0.37909,-5.548,"[0.707, 0.33, 0.317, 0.392, 0.745, 1.0, 0.904, 0.392, 0.475, 0.501, 0.434, 0.446]",0.707,0.33,0.317,0.392,0.745,1.0,0.904,0.392,0.475,0.501,0.434,0.446
330,0.22404,-5.333,"[0.725, 0.328, 0.15, 0.187, 0.247, 1.0, 0.489, 0.226, 0.403, 0.178, 0.115, 0.154]",0.725,0.328,0.15,0.187,0.247,1.0,0.489,0.226,0.403,0.178,0.115,0.154
